Date,Price,Open,High,Low,Vol.,Change %
2023/08/12,110.016,110.083,110.083,109.827,,0.24%
2023/07/12,109.75,110.375,110.75,110,,0.00%
2023/06/12,109.75,110,110,110,,0.00%
2023/05/12,109.75,110,110,110,,0.00%
2023/04/12,109.75,110,110,110,,-0.48%
2023/01/12,110.28,110.263,110.34,110.263,,0.25%
11/30/2023,110,110.25,110.25,110.25,,0.00%
11/29/2023,110,110.25,110.25,110.25,,0.00%
11/28/2023,110,110.25,110.25,110.25,,0.00%
11/27/2023,110,110.25,110.25,110.25,,-0.16%
11/24/2023,110.177,110.325,110.385,110.177,,0.16%
11/23/2023,110,110.25,110.25,110.25,,-0.45%
11/22/2023,110.5,110.25,110.75,110.25,,0.00%
11/21/2023,110.5,110.25,110.75,110.25,,0.00%
11/20/2023,110.5,110.25,110.75,110.25,,-0.25%
11/17/2023,110.782,110.821,110.821,110.744,,0.25%
11/16/2023,110.5,110.75,110.75,110.75,,0.00%
11/15/2023,110.5,110.75,110.75,110.75,,0.00%
11/14/2023,110.5,110.75,110.75,110.75,,0.00%
11/13/2023,110.5,110.25,110.75,110.25,,0.25%
2023/10/11,110.22,110.244,110.422,110.22,,0.20%
2023/09/11,110,110.75,110.75,110.25,,-0.45%
2023/08/11,110.5,110.25,110.75,110.25,,0.45%
2023/07/11,110,110.75,110.75,110.25,,0.00%
2023/06/11,110,110.75,110.75,110.25,,-0.62%
2023/03/11,110.684,110.56,110.868,110.56,,0.17%
2023/02/11,110.5,110.75,110.75,110.75,,0.45%
2023/01/11,110,110.25,110.25,110.25,,0.00%
10/31/2023,110,110.25,110.25,110.25,,0.00%
10/30/2023,110,110.25,110.25,110.25,,-0.32%
10/27/2023,110.35,110.268,110.35,110.044,,0.32%
10/26/2023,110,110.25,110.25,110.25,,0.00%
10/25/2023,110,110.25,110.25,110.25,,-0.24%
10/24/2023,110.265,110.213,110.265,109.423,,0.24%
10/23/2023,110,110.25,110.25,110.25,,-0.22%
10/20/2023,110.241,110.215,110.241,109.993,,0.22%
10/19/2023,110,110.25,110.25,110.25,,0.00%
10/18/2023,110,110.25,110.25,110.25,,0.00%
10/17/2023,110,110.25,110.25,110.25,,0.00%
10/16/2023,110,110.25,110.25,110.25,,-0.23%
10/13/2023,110.251,110.254,111.083,110.251,,0.23%
2023/12/10,110,110.25,110.25,110.25,,0.00%
2023/11/10,110,110.25,110.25,110.25,,0.00%
2023/10/10,110,110.25,110.25,110.25,,0.00%
2023/09/10,110,110.25,110.25,110.25,,-0.25%
2023/06/10,110.274,109.942,110.274,109.942,,0.25%
2023/05/10,110,110.25,110.25,110.25,,0.00%
2023/04/10,110,110.25,110.25,110.25,,0.00%
2023/03/10,110,110.25,110.25,110.25,,0.00%
2023/02/10,110,110.25,110.25,110.25,,-0.34%
09/29/2023,110.371,110.269,110.371,109.993,,0.09%
09/28/2023,110.269,110.388,110.677,110.269,,0.24%
09/27/2023,110,110.25,110.25,110.25,,0.00%
09/26/2023,110,110.25,110.25,110.25,,0.00%
09/25/2023,110,110.25,110.25,110.25,,0.25%
09/22/2023,109.729,109.82,109.82,109.679,,0.21%
09/21/2023,109.5,109.75,109.75,109.75,,0.00%
09/20/2023,109.5,109.75,109.75,109.75,,0.00%
09/19/2023,109.5,109.75,109.75,109.75,,0.00%
09/18/2023,109.5,109.75,109.75,109.75,,-0.23%
09/15/2023,109.754,109.742,110.697,109.742,,0.23%
09/14/2023,109.5,109.75,109.75,109.25,,0.00%
09/13/2023,109.5,109.75,109.75,109.75,,0.00%
2023/12/09,109.5,109.75,109.75,109.75,,0.00%
2023/11/09,109.5,109.75,109.75,109.75,,-0.21%
2023/08/09,109.732,109.713,109.732,109.668,,0.21%
2023/07/09,109.5,109.75,109.75,109.75,,-0.15%
2023/06/09,109.666,109.924,109.924,109.666,,0.15%
2023/05/09,109.5,109.75,109.75,109.75,,-0.36%
2023/04/09,109.9,109.75,109.95,109.75,,0.59%
2023/01/09,109.258,109.259,109.607,109.258,,0.24%
08/31/2023,109,109.45,109.45,109.25,,0.00%
08/30/2023,109,109.25,109.45,109.25,,-0.37%
08/29/2023,109.4,109.25,109.45,109.25,,0.37%
08/28/2023,109,109.25,109.45,109.25,,-0.18%
08/25/2023,109.192,109.247,109.862,109.192,,0.18%
08/24/2023,109,109.25,109.45,109.25,,-0.37%
08/23/2023,109.4,109.25,109.45,109.25,,0.37%
08/22/2023,109,109.25,109.45,109.25,,-0.37%
08/21/2023,109.4,109.25,109.45,109.25,,-0.03%
08/18/2023,109.43,109.43,109.43,109.43,,0.03%
08/17/2023,109.4,109.25,109.45,109.25,,0.00%
08/16/2023,109.4,109.25,109.45,109.25,,-0.06%
08/15/2023,109.462,109.519,109.833,109.462,,0.06%
08/14/2023,109.4,109.25,109.45,109.25,,-0.05%
2023/11/08,109.456,109.45,109.846,109.45,,0.05%
2023/10/08,109.4,109.25,109.45,109.25,,0.00%
2023/09/08,109.4,109.25,109.45,109.25,,0.00%
2023/08/08,109.4,109.45,109.45,109.25,,0.06%
2023/07/08,109.33,109.45,109.45,109.38,,0.28%
2023/04/08,109.027,108.952,109.027,108.794,,0.07%
2023/03/08,108.95,109.45,109.45,109,,-0.41%
2023/02/08,109.4,109.45,109.45,109.45,,0.85%
2023/01/08,108.48,108.95,109.45,108.53,,0.01%
07/31/2023,108.47,108.95,108.95,108.52,,0.09%
07/28/2023,108.373,108.551,110.071,108.373,,-0.09%
07/27/2023,108.47,108.95,108.95,108.52,,-0.01%
07/26/2023,108.48,108.95,108.95,108.53,,0.00%
07/25/2023,108.48,108.95,108.95,108.53,,-0.02%
